mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	Trill:trill	crescendo_hairpin	decrescendo_hairpin	Ottava:8va
32	32	97/2	97/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	157													
32	32	49	49	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	158													
33	33	99/2	99/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	159		articMarcatoAbove							13				
33	33	201/4	201/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	160									13				
33	33	101/2	101/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	161									13				
33	33	203/4	203/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	162													
33	33	99/2	99/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	163													
33	33	50	50	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	164													
33	33	101/2	101/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	165													
34	34	51	51	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	166		articMarcatoAbove							14				
34	34	207/4	207/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	167									14				
34	34	52	52	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	168									14				
34	34	209/4	209/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	169													
34	34	51	51	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	170													
34	34	103/2	103/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	171													
34	34	52	52	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	172													
35	35	105/2	105/2	0.0	0	0	Spanner	3/8	1	1	0														0		
35	35	105/2	105/2	0.75	0	0	Chord	3/8	1	1	3/16	1/8	3/2	173									15		0		
35	35	213/4	213/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	174									15		0		
35	35	107/2	107/2	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	175									15		0		
35	35	215/4	215/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	176									15		0		
35	35	105/2	105/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	177													
35	35	53	53	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	178													
35	35	107/2	107/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	179													
36	36	54	54	0.0	0	0	Dynamic	3/8	1	1	0				sf								15				
36	36	54	54	0.0	0	0	Spanner	3/8	1	1	0												15				
36	36	54	54	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	180									15				
36	36	217/4	217/4	0.0	1/16	1/16	Spanner	3/8	1	1	0												15			0	
36	36	217/4	217/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	181									15			0	
36	36	109/2	109/2	0.25	1/8	1/8	Chord	3/8	1	1	1/16	1/16	1	182									15			0	
36	36	219/4	219/4	0.25	3/16	3/16	Chord	3/8	1	1	1/16	1/16	1	183									15			0	
36	36	55	55	0.25	1/4	1/4	Chord	3/8	1	1	1/16	1/16	1	184									15			0	
36	36	221/4	221/4	0.0	5/16	5/16	Spanner	3/8	1	1	0																
36	36	221/4	221/4	0.25	5/16	5/16	Chord	3/8	1	1	1/16	1/16	1	185													
36	36	54	54	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	186													
36	36	109/2	109/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	187													
37	37	111/2	111/2	0.25	0	0	Chord	3/8	1	1	1/16	1/16	1	188									16				
37	37	223/4	223/4	0.25	1/16	1/16	Chord	3/8	1	1	1/16	1/16	1	189													
37	37	56	56	0.0	1/8	1/8	Dynamic	3/8	1	1	0				sf												
37	37	56	56	1.0	1/8	1/8	Chord	3/8	1	1	1/4	1/4	1	190													
37	37	111/2	111/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	191		articMarcatoAbove											
37	37	56	56	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	192													
37	37	113/2	113/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	193													
38	38	57	57	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	194													
38	38	57	57	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	195		articMarcatoAbove											
38	38	115/2	115/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	196													
38	38	58	58	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	197													
39	39	117/2	117/2	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	198													
39	39	117/2	117/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	199		articMarcatoAbove											
39	39	59	59	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	200													
39	39	119/2	119/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	201													
40	40	60	60	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	202													
40	40	60	60	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	203		articMarcatoAbove											
40	40	121/2	121/2	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	204													
40	40	61	61	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	205													
41	41	123/2	123/2	0.0	0	0	Spanner	3/8	1	1	0															1	
41	41	123/2	123/2	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	206												1	
41	41	123/2	123/2	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	207		articMarcatoAbove											
41	41	62	62	0.5	1/8	1/8	Chord	3/8	2	1	1/8	1/8	1	208													
41	41	125/2	125/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	209													
42	42	63	63	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	210												1	
42	42	63	63	0.5	0	0	Chord	3/8	2	1	1/8	1/8	1	211		articMarcatoAbove											
